,Title,Lyrics
0,Cyber Sex,"Cyber I wanna touch on you (On you)
You see me in my room (My room)
Wish you were here right now (Right now)
All of the things I'd do
I wanna get freaky on camera
I love when we get freaky on camera

We freak on the cam
Love at first sight, just a link to the 'Gram
Pussy all pink with a tan
And I play with it 'til my middle fingers are cramped up
Swipe right 'cause he thick and he handsome
Love a sneak peek, when you free? Can we cam up?
No shot to the screen, put your hands up
Make it pop in your face like a Samsung
And that's my nigga, better yet, that's my hitta
He don't leak nudes, and if you do you could go missin'
Met him on Tinder, he just swipe left on bitches
And he don't even scroll through Insta'
'Less he going through my pictures
I wanna touch on you (On you)
You see me in my room (My room)
Wish you were here right now (Right now)
All of the things I'd do
I wanna get freaky on camera
I love when we get freaky on camera

Is you into that? (Into that, is you into that? Uh-uh)
Let's break the internet (Internet, on the internet, oh-oh)
We do it the best (It the best, doin' it the best, uh-uh)
When we have cybersex (Cybersex, havin' cybersex, oh-oh)

When he off work, he calling me on Skype (Yeah)
Trust me when I meet him, I'm fucking him on sight (Yeah)
Lemme see you beat it, I'm feelin' just like Mike (Okay, okay)
Huh, oh, surf that 'til I drown in all of your pics
Can't scroll down 'cause some of them dicks (Ya)
Think of my parents going through my shit (My shit, my shit)
Huh, oh, can't give head, you give me the FaceTime
Nigga, you a creep, I saw you on Dateline
You ain't gettin' pussy, you fucking an AI
Huh, oh, what a time to be alive
Living in the future, blinging on my hotline
I wanna touch on you (On you)
You see me in my room (My room)
Wish you were here right now (Right now)
All of the things I'd do
I wanna get freaky on camera
I love when we get freaky on camera
I wanna touch on you (On you)
You see me in my room (My room)
Wish you were here right now (Right now)
All of the things I'd do
I wanna get freaky on camera
I love when we get freaky on camera

Is you into that? (Into that, is you into that? Uh-uh)
Let's break the internet (Internet, on the internet, oh-oh)
We do it the best (It the best, doin' it the best, uh-uh)
When we have cybersex (Cybersex, havin' cybersex, oh-oh)"
1,Won't Bite,"Won’t Le-le-le-le-ha-yeah
Le-le-le-le-ha-yeah
Le-le-le-le-ha-yeah
Le-le-le-le-ha-yeah
Yeah, yeah
Le-le-le-le-ha-yeah
Le-le-le-le-ha-yeah
Le-le-le-le-ha

Closer to me, baby, I won't bite
You look so tasty, but I won’t bite, really
I'm such a good kitty, don't put up fights
But if you trick me, baby, it gon’ get sticky
I might (Might just), bite (I might just)
I might (I might just), bite (I might just)
I might (I might just), bite (I might just)
I might (I might just), bite (I might just)
I might
I, I, I might just rip a nigga head off if
He just wanna hit and head off, then
Why the fuck you in my bed all day?
Talking 'bout you getting bread
'Less you is a bird, then I understand, okay
Never ever bite the hand feeding you the worm
These are not your eggs, okay, look, look, look
Long ass money with a short fuse
I'm 5'3"", but I'll make that nigga 4'2""
If you wanna do it, motherfucker, I won't stop you (Yeah, yeah)
Do it, motherfucker, I won’t stop you, ooh

Closer to me, baby, I won’t bite
You look so tasty, but I won't bite, really
I’m such a good kitty, don't put up fights
But if you trick me, baby, it gon' get sticky
I might (Might just), bite (I might just)
I might (I might just), bite (I might just)
I might (I might just), bite (I might just)
I might (I might just), bite (I might just)
I might

Le-le-le-le-le-le-le-le-le-le-ha
Le-le-le-le-le-le-le-le-le-le-ha
Le-le-le-le-le-le-le-le-le-le-ha
Don't be (Nah)
Sorry, I’ll be carefree (I'll)
Serve your ass like Geoffrey (Plug)
Do it for the glory (Wow)
Late to the shift, be sweet
Kept my voice high C and I let my braids drop
Don't give a fuck who see
Nigga D-E-F 'bout to throw grenades (Grenades)
Keep a ghetto freak, but she lightin' sage
Natural hair poppin', don't ever get it twisted
She at your scalp for the fame
Nah, nah, nah, nigga, listen, let me lecture, see
When it be about the bread, oh, want the Quiznos, don't test it, ayy
I'm a gentleman, I turn to a barracuda swimming in your blessings, hey
Higher than a hallelujah, hot as halitosis, she lick me like
(La, la la la, la la la, la la la, la)

Closer to me, baby, I won't bite
You look so tasty, but I won't bite, really
I'm such a good kitty, don't put up fights
But if you trick me, baby, it gon' get sticky
I might (Might just), bite (I might just)
I might (I might just), bite (I might just)
I might (I might just), bite (I might just)
I might (I might just), bite (I might just)
I might
Le-le-le-le-le-le-le-le-le-le-ha
Le-le-le-le-le-le-le-le-le-le-ha
Le-le-le-le-le-le-le-le-le-le-ha
Le-le-le-le-le-le-le-le-le-le-ha
Le-le-le-le-le-le-le-le-le-le-ha
Le-le-le-le-le-le-le-le-le-le-ha
Le-le-le-le-le-le-le-le-le-le-ha
Le-le-le-le-le-le-le"
2,Rules,"Said play with my pussy, but don't play with my emotions (Emotions)
If you spend some money, then maybe I just might fuck ya (Fuck ya)
When I shake that ass, I'ma do that shit in slow motion (Motion)
You got a whole lotta cash, and nigga, you know I want it (Want it)
Play with my pussy, but don't play with my emotions (Emotions, yeah)
If you spend some money, then maybe I just might fuck ya (Fuck ya, yeah, yeah)
When I shake that ass, I'ma do that shit in slow motion (Motion, slow motion, yeah)
You got a whole lotta cash, and nigga, you know I want it (Want it, you know I want it)

Break some bread up, nigga, that butter my biscuit (Ha)
You ain't talk money, then really, that's none of my business (That's none of my biz)
I don't even need these lenses (Yeah)
20 on 20 my vision (Woo)
Bad yellow bitch with her eye on the prize
But nigga, I ain't no minion (Yeah, yeah)
Millions, thousands, billions (Trillions)
Bobs on me like Dylan, blondes on me like Hilton
Wendys on me like Williams, shouting, digging
Look at me like I'm alien, bitch, I'm fucking reptilian
Bitch, bitch, aw
All y'all bitches was wrong
Talkin' 'bout I fell off
You ain't even get on
Bitch, bitch, yaw
All y'all bitches is precious
Wait, I meant to say jealous
All y'all bitches is jealous
Bitch, bitch
Said play with my pussy, but don't play with my emotions (Emotions)
If you spend some money then maybe I just might fuck ya (Fuck ya)
When I shake that ass, I'ma do that shit in slow motion (Motion)
You got a whole lotta cash, and nigga, you know I want it (Want it)
Play with my pussy, but don't play with my emotions (Emotions, yeah)
If you spend some money, then maybe I just might fuck ya (Fuck ya, yeah, yeah)
When I shake that ass, I'ma do that shit in slow motion (Motion, slow motion, yeah)
You got a whole lotta cash, and nigga, you know I want it (Want it, you know I want it)

(And now you playin' with my emotions)
Nigga, don't do it, you blew it
You tryna cast spells on a bitch with potions
Nigga, I need devotion
(Leaving you with that lotion)
Telling me this and that, the third
That shit for the birds, I'm ghosting
If you don't dive in that pussy like dolphins
If he don't dive in that pussy like oceans
Twins look identically like Olsens
Nigga, don't hide from the pussy, be open
Nigga wan' spy on the pussy like Austin
(Do I make you horny, baby?)
That's my ego that you stroking
Nigga, don't laugh 'cause the pussy ain't joking
Nigga, go splash when the pussy be soakin' (Yeah)
Where that nigga who don't play mind games at?
You got a fake gold chain on, change that
Tryna spit game while I'm on my way out, late ass
Where that nigga, man? Where he at? Where he at?
Said play with my pussy, but don't play with my emotions (Emotions)
If you spend some money, then maybe I just might fuck ya (Fuck ya)
When I shake that ass, I'ma do that shit in slow motion (Motion)
You got a whole lotta cash, and nigga, you know I want it (Want it)
Play with my pussy, but don't play with my emotions (Emotions, yeah)
If you spend some money, then maybe I just might fuck ya (Fuck ya, yeah, yeah)
When I shake that ass, I'ma do that shit in slow motion (Motion, slow motion, yeah)
You got a whole lotta cash, and nigga, you know I want it (Want it, you know I want it)"
3,Bottom Bitch,"Bottom Ooh, that's my trick (Trick, trick)
I’m her pimp (Pimp, pimp)
She my flip (Flip, flip)
Ooh, don't forget (Get, get)
That's my trick (Trick, trick)
She my bottom bitch
Ooh, that’s my trick (That's my trick)
I'm her pimp (I'm her pimp)
She my flip (She my flip)
Ooh, don't forget (Don't forget)
That's my trick (That's my trick)
She my bottom bitch

That’s my ho
That’s my doe
That's my glow up
She go hard
She just like a pro
She just wanna blow up
If you talkin’ shit
Wipe your spit off my nuts
Nigga, grow up
On a boat like I'm Noah
Xan like I'm Noah
Damn, I don't know her no more
And she bought a crib
Then she bought a whip
In her Prada fit
Got some Gucci kicks
That’s my bottom bitch
'Cause she 'bout it, bitch
And I'm proud of it
Ooh, that's my trick (Trick, trick)
I'm her pimp (Pimp, pimp)
She my flip (Flip, flip)
Ooh, don't forget (Get, get)
That's my trick (Trick, trick)
She my bottom bitch
Ooh, that's my trick (That's my trick)
I'm her pimp (I'm her pimp)
She my flip (She my flip)
Ooh, don't forget (Don't forget)
That's my trick (That's my trick)
She my bottom bitch

She don't create no problems
That's why the bitch my bottom
And she like a model, oh woah
She ain't no rat, she possum
All up in that concoction
Personal coochie popper, oh
Slip in to something pretty
I need to be this fitted
Baby gon' get her way, yeah, oh woah
Baby, don't keep me waitin'
Baby boy, what you payin'?
Drop it and I will stay witcha
'Cause I know what you want, don't lie (Don't lie)
You want something for one night
Ooh, that's my trick (Trick, trick)
I'm her pimp (Pimp, pimp)
She my flip (Flip, flip)
Ooh, don't forget (Get, get)
That's my trick (Trick, trick)
She my bottom bitch
Ooh, that's my trick (That's my trick)
I'm her pimp (I'm her pimp)
She my flip (She my flip)
Ooh, don't forget (Don't forget)
That's my trick (That's my trick)
She my bottom bitch

Ooh, that's my trick (Don't you forget)
I'm her pimp, she my flip (Don't)
Ooh, don't forget (Don't you forget)
That's my trick, bottom bitch (Don't you forget)
Ooh, that's my trick (Ayy, ayy, ayy, ayy)
I'm her pimp, she my flip (Ayy, ayy)
Ooh, don't forget (Ayy, ayy, ayy, ayy)
That's my trick, bottom bitch (Ayy)
Ooh
Ooh
Ooh"
4,Say So,"Say Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so

It's been a long time since you fell in love
You ain't coming out your shell, you ain't really been yourself
Tell me, what must I do? (Do tell, my love)
'Cause luckily, I'm good at reading
I wouldn't bug him, but he won't stop cheesin'
And we can dance all day around it
If you frontin', I'll be bouncing
If you want it, scream it, shout it, babe
Before I leave you dry
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so (Yeah)

Let me check my chest, my breath right quick (Ha)
He ain't ever seen it in a dress like this (Ah)
He ain't ever even been impressed like this
Prolly why I got him quiet on the set like zip
Like it, love it, need it bad
Take it, own it, steal it fast
Boy, stop playing, grab my ass
Why you actin' like you shy? (Hot)
Shut it, save it, keep it pushin'
Why you beating 'round the bush?
Knowin' you want all this woman
Never knock it 'til you try (Yah, yah)
All of them bitches hating I have you with me
All of my niggas sayin' you mad committed
Realer than anybody you had, and pretty
All of the body-ody, the ass and titties
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so"
5,Like That,"Like Cállate, Mike Crook
Burr, burr
Gucci (Don't stop)
Doja, Gato
Yeah (Don't stop)

Tha-tha-tha-tha-tha-that's my shit, that's my wave
Do it like that and I'll repay it
Don't be scared, I ain't afraid
Just like that, come my way
That's my shit, that's my wave
Do it like that and I'll repay it
Don't be scared, I ain't afraid
Just like that, come my way (Yeah)
I said, ""Do that, do that, baby, all night long""
And I'ma turn off all my phones
You know I hate it when I'm left on read
But he make it all up in the bed
And he take me out, dinin' on nothin' but the best
He got Off-White on right, damn, he can dress
Makin' plans from the East, makin' bands in the West
Rockstar, Black Beatle type, bands on his bread
And baby, I want it, and I'll just be honest
'Cause I just can't front when I look at you
Just keep it one hundred, when I throw these hundreds
I hope that your ass gon' know what to do

Tha-tha-tha-tha-tha-that's my shit, that's my wave
Do it like that and I'll repay it
Don't be scared, I ain't afraid
Just like that, come my way
That's my shit, that's my wave
Do it like that and I'll repay it (Huh?)
Don't be scared, I ain't afraid (Wop)
Just like that, come my way

Gucci El Dorado, we in Rome, I'm a model (Rome)
Gucci Mane and Doja Cat, call me El Gato (Gato)
I'm the big boss and I got big bread (Yeah)
I'm gettin' big-headed and I like good head (Shh)
I'm not cheap, baby, and I'm sure not selfish (No)
Shakin' like Elvis, damn near broke my pelvis (Sheesh)
Jumpin' off the top rope, got 'em tag teamin' (Tag)
Putting on a show, I got the whole crowd screamin'
Bougie with the bread, I'll knock a top-notch freak (Freak)
Act like I'm a treat when a dog see me (Rr)
Like a thief in the night, just like she stole my green
Got me walkin' off the scene like a hole in my jeans (Damn, Gucci)
Tha-tha-tha-tha-tha-tha-that's my shit, that's my wave (Yeah)
Do it like that and I'll repay it (Huh?)
Don't be scared, I ain't afraid (Huh?)
Just like that, come my way (Burr)
That's my shit, that's my wave
Do it like that and I'll repay it
Don't be scared, I ain't afraid
Just like that, come my way

Said I like it
I like it
I like it
I like it like that
Said I like it
I like it (Ooh)
I like it
I like it like that
Tha-tha-tha-tha-tha-that's my shit"
6,Talk Dirty,"Talk Talk, talking to ya
See, baby, when I'm talk, talking to ya
Baby, when I’m talk, talking to ya
Baby, when I'm talk, talking to ya
(Yeah, yeah, will you, ayy, will you, will you talk dirty back?)

Now, when you talk like that (Will you talk to me?), I be in my bag
I be in my bag, now, baby, I'm all in my bag (Will you talk dirty back?)
Now, when you talk like that (Will you talk to me?), I be in my bag
I be in my bag, now, baby, I’m all in my bag (When you talk dirty back)
Now, when you talk like that (Will you talk to me?), I be in my bag
I be in my bag (Will you talk to me?), now, baby, I'm all in my bag (When you talk dirty back)
Now, when you talk like that (Will you talk to me?), I be in my bag
I be in my bag (Will you talk to me?), now, baby, I'm all in my bag (Will you talk dirty back?)
Said when you talk like that, put that shit to work
Make that kitty hurt, make that kitty squirt
Tell me what's my name, make that kitty yearn
Teach me how to jerk, make that kitty learn
Uh, wait, who's your mama? Who's your daddy, lil' babe?
He want a baddie, he want skinny with a fatty, um, waist
Tell me how much you just want my body on you, babe
Like the way you say it's yummy when I’m grindin’ on your face
Grindin' on your, wait, grindin’ on your face
Like the way you say it's yummy when I'm grindin' on your
Gri-gri-grindin’ on your face, ayy, grindin' on your face
I like the way you say it's yummy when I'm grindin' on your face (Will you talk dirty back?)

Talk like that (Will you talk to me?), I be in my bag
I be in my bag, now, baby, I'm all in my bag (Will you talk dirty back?)
Now, when you talk like that (Will you talk to me?), I be in my bag
I be in my bag, now, baby, I'm all in my bag (Will you talk dirty back?)
Now, when you talk like that (Will you talk to me?), I be in my bag
I be in my bag (Will you talk to me?), now, baby, I'm all in my bag (Will you talk dirty back?)
Now, when you talk like that (Will you talk to me?), I be in my bag
I be in my bag (Will you talk to me?), now, baby, I'm all in my bag (Will you talk dirty back?)

And I say hey, I don't know the way, I
Don't know just how to say what's been all in my head, I
Just wanna let you in 'cause I know you got good taste, and
I love the way you taste, boy, tell me what you think, I
I, I, I
And I know you wanted me, now you got me
Don't you play with it, get naughty
Call you daddy, you call me mami
You so crazy when you're talking (Yeah)
And I say, yeah, talk like that
All up in my ear when he want that wax
Funny how the earrings are all intact
Can't even hear when I moan like that
Aw yeah, that's your fault
With a lil' serious tone in fact
Grab my hair with the eye contact
Phone sex good, that's why I phone back, uh
And you know that I pick up right when you call me
Got your voice in my head, it's making me horny
And I can't help but wake you up in the morning
You know most of the day I'm gonna be lonely
Talk like that (Will you talk to me?), I be in my bag
I be in my bag, now, baby, I'm all in my bag (Will you talk dirty back?)
Now, when you talk like that (Will you talk to me?), I be in my bag
I be in my bag, now, baby, I'm all in my bag (Will you talk dirty back?)
Now, when you talk like that (Will you talk to me?), I be in my bag
I be in my bag (Will you talk to me?), now, baby, I'm all in my bag (Will you talk dirty back?)
Now, when you talk like that (Will you talk to me?), I be in my bag
I be in my bag (Will you talk to me?), now, baby, I'm all in my bag (Will you talk dirty?)

Will you talk to me?
You must have it in you, I just like the way you think
I'm open if you are, let me know what it's gon' be
Whisper to my soul, boy, I just like the way you speak
Talk, talking to ya
See baby, when I'm talk, talking to ya
Baby, when I'm talk, talking to ya
Baby, when I'm talk, talking to ya"
7,Addiction,"It's Doja
I don't know how else to tell you this, but
I got one way, maybe this will work
You just gotta listen closely to me
I need you, me, us
Addicted, uh

I am addicted, a little
Under the influence, a little
And it makes me want to dance, a little
An itch I just can't scratch, addiction

I got such a pretty body
Feels prettier when I'm a mess
And I just like to call him daddy
'Cause the first one had up and left
And you can relate to broken girls
I've been a day without it, I'm proud of myself
Baby, can you break the curse?
I'm so gone, I believe in magic
You can relate to broken girls
I've been a day without it, I'm proud of myself
Baby, can you break the curse?
I'm so gone, I believe in magic
I am addicted, a little
Under the influence, a little
And it makes me want to dance, a little
An itch I just can't scratch, addiction

Look
I'm just a little bit, I'm just a little bit (Oh na na na, na, na, na na)
I'm just a little bit, I'm just a little bit
I'm just a little bit, I'm just a little bit (Oh na na na, na, na, na na)
I'm just a little bit, I'm just a little bit
More, just a little bit more, just a little bit (Oh na na na, na, na, na na)
More, just a little bit more, just a little bit
More, just a little bit more, just a little bit (Oh na na na, na, na, na na)
More, just a little bit more, just a little bit

Yeah, roll another hunnid
We could get the white girl lit like Madonna
Bitch, I ain't Gwen, but this shit is bananas
Sweating, make ya whole body drip like a sauna
Swim like your piranha, put M's in my water
I can't feel my lips, my limbs feel like rubber
Yeah, I came down, but I still need another
One under the tongue and then a little marijuana
They on the trees like koala
I am addicted, a little
Under the influence, a little
And it makes me want to dance, a little
An itch I just can't scratch, addiction

Look
I'm just a little bit, I'm just a little bit (Oh na na na, na, na, na na)
I'm just a little bit, I'm just a little bit
I'm just a little bit, I'm just a little bit (Oh na na na, na, na, na na)
I'm just a little bit, I'm just a little bit
More, just a little bit more, just a little bit (Oh na na na, na, na, na na)
More, just a little bit more, just a little bit
More, just a little bit more, just a little bit (Oh na na na, na, na, na na)
More, just a little bit more, just a little bit"
8,Streets,"I've been goin' through some things (Oh)
I struggle with my inner man (Yeah, yeah)
I hustle, I'll do what I can to get this money
Blaq Tuxedo
Don Dada on the, Don Dada on the beat

Like you, like you
Like you, ooh
I found it hard to find someone like you
Like you, like you
Send your location, come through

I can't sleep no more
In my head, we belong
And I can't be without you
Why can't I find no one like you?
I can't sleep no more
In my head, we belong
And I can't be without you
Why can't I find no one like you?
Baby, we tried to fight it
We all been there some days
Thought I needed something else
And acted like I was okay
We just had to work it out
And baby, I needed space
Ain't nobody 'round here on your level
You're so far away
You're pouring your heart out
I'm acting like I knew
You held me so down
So down I never grew, oh
I tried to find out
When none of them came through
And now I'm stuck in the middle
And baby had to pull me out, oh

Like you, like you
Like you, ooh
I found it hard to find someone like you
Like you, like you
Send your location, come through (Yeah)

Damn papa, you a rare breed, no comparing
And it's motherfuckin' scary
Tryna keep him 'cause I found him
Let a ho know I ain't motherfuckin' sharing
I could take you to the parents, then to Paris
Plan a motherfuckin' wedding
You the type I wanna marry (Yeah) and keep you merry
I'll put the ring on when you ready
We play our fantasies out in real life ways and
No Final Fantasy, can we end these games though?
You give me energy, make me feel lightweight (Woo)
Like the birds of a feather, baby (Woo)
We real life made for each other (Woo)
And it's hard to keep my cool
When other bitches tryna get with my dude and
When other chickens tryna get in my coop
'Cause you're a one in a million
There ain't no man like you
Like you, like you
Like you, ooh
I found it hard to find someone like you
Like you, like you
Send your location, come through

I can't sleep no more
In my head, we belong
And I can't be without you
Why can't I find no one like you?
I can't sleep no more
In my head, we belong
And I can't be without you
Why can't I find no one like you?"
9,Shine,"Ruby red, bright, bright
Diamonds on shine, should be legally blind
The smile pearl white, white
Diamonds on shine if I ever can't find 'em (Shine)

Dun-dun, d-dun, d-dun-dun-dun-dun (Shine bright)
Dun-dun, d-dun, d-dun-dun-dun (Shine)
D-d-dun-dun, d-dun, d-dun, d-d-dun-dun (Shine bright)
Dun-dun, d-dun, d-dun, d-d-dun-dun (Shine)

Diamonds on shine and they all mine
Yeah, I fuckin' mind, I ain't got time
Dick was hella mean, slipped in some' nice
Skating on my rings, slipped on some ice
Tryna live like me, bitch won't survive
She ain't got the juice, this won't suffice
You know who your queen, it's no surprise
It's no mystery, bitch, fall in line
Yeah, turnin' off the lights, they go, ""Ooh-wee, that's tight,"" uh
Slept the whole way, that's a bougie ass flight, uh
Spent a hundred K on that coochie last night
I said, ""Spank you very much,"" that booty ruby red bright like
Ruby red, bright, bright
Diamonds on shine, should be legally blind
The smile pearl white, white
Diamonds on shine if I ever can't find 'em (Shine)

Dun-dun, d-dun, d-dun-dun-dun-dun (Shine bright)
Dun-dun, d-dun, d-dun-dun-dun (Shine)
D-d-dun-dun, d-dun, d-dun, d-d-dun-dun (Shine bright)
Dun-dun, d-dun, d-dun, d-d-dun-dun (Shine)

What's that drippin'? No, baby, I'm not cryin'
Baby, that's my diamonds, everything so vibrant
Say it like I mean it and I says it like I'm Simon
I read her like she fine print and beat her without violence
Man, it's heavy on me, it's like a brick on my ring, yeah
Baby on me 'cause I got red in my genes, yeah
Work 'til I cry, bitch, I ain't barely got sleep
Kept the ice on my grill for me to get all of this heat

Ruby red, bright, bright
Diamonds on shine, should be legally blind
The smile pearl white, white
Diamonds on shine if I ever can't find 'em (Shine)
Dun-dun, d-dun, d-dun-dun-dun-dun (Shine bright)
Dun-dun, d-dun, d-dun-dun-dun (Shine)
D-d-dun-dun, d-dun, d-dun, d-d-dun-dun (Shine bright)
Dun-dun, d-dun, d-dun, d-d-dun-dun (Shine)

(Shine)"
