,Title,Lyrics
0,Woman,"Hey, woman
Hey, woman

Woman
Let me be your woman
Woman, woman, woman (Ayy)
I can be your woman
Woman, woman, woman (Ayy)
Let me be your woman
Woman, woman, woman (Ayy)
I can be your woman
Woman, woman, woman (Ayy)

What you need?
She give tenfold, come here, papa, plant your seed
She can grow right from her womb a family
Provide lovin' overlooked and unappreciated, you see (Yeah)
You can reciprocate
I got delicious taste, you need a woman's touch in your place
Just protect her and keep her safe
Baby, worship my hips and waist
So feminine with grace
I touch your soul when you hear me say, ""Boy""
Let me be your woman
Woman
Lеt me be your woman
Woman, woman, woman
I can be your woman
Woman, woman, woman
Lеt me be your woman
Woman, woman, woman (Ayy)
I can be your woman
Woman, woman, woman

I can be your lady, I'm a woman
I'm a motherfucker, but they got a problem
Put some babies in your life and take away the drama
Put the paper in a picture like a diorama
Gotta face a lot of people of the opposite
'Cause the world told me, ""We ain't got the common sense""
Gotta prove it to myself that I'm on top of shit
And you would never know a god without the goddesses
Honest as fuckin' honest get
And I could be on everything
I mean I could be the leader, head of all the states
I could smile and jiggle it 'til his pockets empty
I could be the CEO, just look at Robyn Fenty
And I'ma be there for you 'cause you on my team, girl
Don't ever think you ain't hella these niggas dream girl
They wanna pit us against each other
When we succeedin' for no reasons
They wanna see us end up like we Regina on Mean Girls
Princess or queen, tomboy or king (Yeah)
You've heard a lot, you've never seen (Nah)
Mother Earth, Mother Mary rise to the top
Divine feminine, I'm feminine (Why?)
Related SongsNakedDoja CatSay SoDoja CatAuntie DiariesKendrick Lamar
Woman (Daddy)
Let me be your woman (Let me be your—)
Woman, woman, woman (Let me be your—)
I can be your woman
Woman, woman, woman (Daddy)
Let me be your woman (I know)
Woman, woman, woman (Daddy)
I can be your woman (I know)
Woman, woman, woman

Eee, eee, eee (Hey, woman)
(Woman)
Eee, eee, eee (Hey, woman)
Hey (Hey woman)
Mm-hmm, mm-hmm (Woman)
(Hey, woman)
(Hey, woman)"
1,Naked,"Baby, you're so anxious
You can't take it
Can we take this off and get naked?
Can we take this off and get naked?
Can we take this off and get nake—?
Baby, you're so anxious
You can't take it
Can we take this off and get naked?
Can we take this off and get naked?
Can we take this off and get naked? Ah

I don't think 'bout anybody
But bein' beside your body, baby (La-la-la-la-la, la, la-la-la, la-la-la-la-la-la-la)
You can leave open windows
Don't care who see me out my clothes, baby
Yeah, I like bananas and peaches
And some might say it's indecent
That's just crazy (That's just crazy)
Can I slide outta mine and into yours?
Heels on, waitin' at your door
I don't wanna play no more
Leave everything on the floor
You don't need a pole to see me strip
Only thing I want zipped is your lips
Take it to the top, boy, skinny dip
(So hot, your body on mine, your body on)
I don't even wanna get a grip
I just like it when you grab my hips
Can you feel it through your fingertips? (How do I?)

How do I keep this on?
How do I let you know?
Boy, you deserve a show
Deserve to get comfortable
It's only natural
I could tell when you locked the door
Just what was going on
Boy, can we take off all our clothes?
When can we take off all our clothes?
When can we take off all our clothes? (When? Oh whoa)
When can we take off all our clothes?

Baby, you're so anxious
You can't take it
Can we take this off and get naked?
Can we take this off and get naked?
Can we take this off and get nake—?
Baby, you're so anxious
You can't take it
Can we take this off and get naked?
Can we take this off and get naked?
Can we take this off and get naked? Ah
Follow me to my dressin' room
Let me know if you ain't 'bout that NSFW
Now it's safe to finish what we started
First impression of you is you really like to party
Swirlin' all up on you 'cause you know I wanna dance
Let me cordially invite you to this party in my pants
How you got me sprung and don't say sorry in advance?
Show me all your tatts, not just the ones that's on your hands
Who's your designer?
Is that birthday suit one of a kind, uh?
Everything about you look like it's on purpose
God was workin', probably took some extra time though
Ayy, all up in my curves like a puzzle piece, mmm
Jigsaw, let me see your muscleses, mmm
After we fuck, I'ma wanna cuddle
We could take it to the kitchen
I'll be on the island, come and eat, mmm

How do I keep this on?
How do I let you know?
Boy, you deserve a show
Deserve to get comfortable
It's only natural
I could tell when you locked the door
Just what was going on
Boy, can we take off all our clothes?
(Anxious, you can't take it)
(Can we take this off and get naked?)
When can we take off all our clothes?
(Can we take this off and get naked?)
(Can we take this off and get naked?)
When can we take off all our clothes? (When? Oh, whoa)
(Feelin' so anxious, can't take it)
(Can we take this off and get naked?)
When can we take off all our clothes?
(Can we take this off and get naked?)
(Can we take this off and get naked? Ah)
Touch, touch my body
Just touch, touch my body
Just touch me
Ayy, touch my body, just
(Touch me, touch me)
Yeah, touch, touch my body
Just touch, touch my body
Just touch me
Uh, touch my body, yeah
Touch me, baby
(Touch, touch my body)
(Just touch me, touch me, baby, yeah)
(Touch you, touch my body, just)"
2,Payday,"All this money on me (Me)
It don't mean no thing (Thing)
See it in your dreams while I spend it all on my team, and we go
Oh yeah, yeah, yeah
Gettin' paid e'yday, yeah
We was gettin' by (By)
Savin' on the side (Side)
I just can't believe I got what I wanted all my life, now we go
Oh yeah, yeah, yeah
Gettin' paid e'yday, yeah

Said everything that I want (Yeah)
I don't need it, I got it already
Tell me what you want, uh
Point to it, I got you, baby, get it, uh
I just keep drippin' like a fuckin' mermaid, yeah
And drop a band to keep the smile on that face, yeah
And I'm bilingual, talkin' money conversations
And, baby, we are not the same, make no mistakes, yeah (Make no mistakes)
You gotta face it (You gotta face)
'Cause it just keep addin' up and they run it up
And then add it up, and they run it, run it

All this money on me (Me)
It don't mean no thing (Thing)
See it in your dreams while I spend it all on my team, and we go
Oh yeah, yeah, yeah
Gettin' paid e'yday, yeah
We was gettin' by (By)
Savin' on the side (Side)
I just can't believe I got what I wanted all my life, now we go
Oh yeah, yeah, yeah
Gettin' paid e'yday, yeah

I be waitin' outside, I be waitin' outside
I don't care 'bout vibes, baby, set that shit aside
All your mama physics, tell me you gon' blossom right (Oh, yeah, yeah, yeah, yeah)
And your daddy gotta fuck, jumpin' on, ready to ride (Skrrt)
I just wanted to love you, baby, tell me what you needin'
I don't fuck with rascals for a reason (For a reason)
I done dropped your problem down, yeah, I see that (Oh, yeah, yeah, yeah, yeah)
Bring my fuckin' mistress 'fore I swing it like Serena
And I know you feel my vibe, I'ma love you 'til we die
Patek on my wrist, okay, it must be perfect timin'
She like, ""Yeah, yeah, yeah
Yeah, yeah, yeah-yeah-yeah""
I wan' see, baby, let me see (Woah)
Hope you wanna fuck 'cause my money long like limousine
Yeah, yeah, yeah, yeah-yeah-yeah, yeah (Oh, yeah, yeah, yeah, yeah)
And I'm bilingual, talkin' money conversations
And, baby, we are not the same, make no mistakes, yeah (Make no mistakes)
You gotta face it (You gotta face)
'Cause it just keep addin' up and they run it up
And then add it up, and they run it, run it

All this money on me (Me)
It don't mean no thing (Thing)
See it in your dreams while I spend it all on my team, and we go
Oh yeah, yeah, yeah
Gettin' paid e'yday, yeah
We was gettin' by (By)
Savin' on the side (Side)
I just can't believe I got what I wanted all my life, now we go
Oh yeah, yeah, yeah
Gettin' paid e'yday, yeah
All this money on me (Me)
It don't mean no thing (Thing)
See it in your dreams while I spend it all on my team, and we go
Oh yeah, yeah, yeah
Gettin' paid e'yday, yeah
We was gettin' by (By)
Savin' on the side (Side)
I just can't believe I got what I wanted all my life, now we go
Oh yeah, yeah, yeah
Gettin' paid e'yday, yeah"
3,Get Into It (Yuh),"Get Into It (Yuh)Yeah, ayy
Ha, ayy, yeah

They say I just got a buck, uh
Get into it, yuh
Pop out with a truck, ha
Get into it, yuh (Yuh)
If you go to church
I said get into it, yuh
If she ain't got a butt
Nah, fuck it, get into it, yuh
And I say I just got a buck
Get into it, yuh
Pop out with a truck
Get into it, yuh
If you go to church
Get into it, yuh
If she ain't got a butt
Fuck it, get into it, yuh
Yeah, you just wanna party, you just wanna lap dance
You just wanna pop up on these clowns like you're the Batman
You just wanna ball out in designer with your best friends
You don't wanna talk no more about it in the past tense
Get me out my zone, I'm just talkin' comfort, shawty
I ain't give you nothin' you could come for, shawty
I got plenty things you make a run for, shawty
Call him Ed Sheeran, he in love with my body

They say I just got a buck, uh
Get into it, yuh
Pop out with a truck, ha
Get into it, yuh (Yuh)
If you go to church
I said get into it, yuh
If she ain't got a butt
Nah, fuck it, gеt into it, yuh
And I say I just got a buck
Get into it, yuh
Pop out with a truck
Get into it, yuh
If you go to church
Get into it, yuh
If shе ain't got a butt
Fuck it, get into it, yuh
Related SongsNeed to KnowDoja CatPaydayDoja CatSay SoDoja Cat
Y'all need to get into the drip like a piranha
Y'all need to get into my drip like y'all need water
I mean, it's only head to toe Balenciaga
I mean, y'all bitches better ""yuh"" like Ariana
If they ever tryna knock her, put my foot up in your caca
Call your mama and your papa like I'm finna take your daughter
Turn that bitch into a soccer ball and rocka, rocka, rocka (Brrr)
Get into it like a suit and fuck a stock up like a broker

They say I just got a buck (Yuh)
Get into it, yuh (Ayy)
Pop out with a truck, ha
Get into it, yuh (Pop out, pop out)
If you go to church
I said get into it, yuh
If she ain't got a butt
Nah, fuck it, get into it, yuh
And I say I just got a buck (Ayy)
Get into it, yuh
Pop out with a truck
Get into it, yuh (Yeah)
If you go to church
Get into it, yuh (Go to church)
If she ain't got a butt
Fuck it, get into it, yuh
(Yeah, yeah, yeah, yeah)
Thank you, Nicki, I love you
Got that big rocket launcher!"
4,Need to Know,"Need to Yeah

Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm
What's your size? (Size)
Add, subtract, divide ('Vide)
Daddy don't throw no curves (Curves)
Hold up, I'm goin' wide (Wide)
We could just start at ten (Ten)
Then we can go to five (Five)
I don't play with my pen (Pen)
I mean what I writе
Yeah-yeah, woah-woah-woah
I just can't help but bе sexual (Oh)
Tell me your schedule (Yeah)
I got a lotta new tricks for you, baby
Just sayin' I'm flexible (I will)
I do what I can to get you off (I will)
Might just fuck him with my makeup on (I will)
Eat it like I need an apron on (Yeah, oh)
Eat it 'til I need to change my thong (Yeah, ayy)
We could do it to your favorite song (Yeah, ayy)
Take a ride into the danger zone
You know my nigga be buggin' me
I just be wonderin' if you can fuck on me better
Itchin' for me like an ugly sweater
Need it in me like a Chuck E. need cheddar
I need to know
Related SongsI Don’t Do DrugsDoja CatGet Into It (Yuh)Doja CatSay SoDoja Cat
Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm

You're exciting, boy, come find me
Your eyes told me, ""Girl, come ride me""
Fuck that feeling both us fighting
Could he try me? (Yeah) Mmm, most likely

Tryna see if you could handle this ass
Prolly give his ass a panic attack
Sorry if I gave a random erection
Prolly thinkin' I'm a telekinetic
Oh, wait, you a fan of the magic?
Poof, pussy like an Alakazam
I heard from a friend of a friend
That that dick was a ten out of ten
I can't stand it, just one night me
Clink with the drink, gimme a sip
Tell me what's your kink, gimme the dick
Spank me, slap me, choke me, bite me (Ew)
Oh, wait, I can take it (Ah)
Give a fuck 'bout what your wifey's sayin' (Yeah)
Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm"
5,I Don't Do Drugs,"I Don’t Do Love got me fucked up
Got me on stuck, chasin' that rush
Had to give in, couldn't give up
I just want you, but I don't do drugs

Still I want you, ooh-ooh
Ooh, ooh-ooh
Ooh, ooh-ooh
Ooh
All I want is you, ooh-ooh
Ooh, ooh-ooh
Ooh, ooh-ooh
Ooh
Baby, I've been in my bag
You don't really hit me back
'Cause I feel like I'm attached
Shoulda never kissed you back
Ever since I fell in love
Not quite like bein' trapped
More like a sickness that
Keeps me addicted bad

Hard for me to let you go (Let you go, let you go)
My body wouldn't let me hide it (Hide it)
No matter what, I wouldn't fold (Wouldn't fold, wouldn't fold)
Ridin' through the thunder, lightnin'

(And I)
Forgive me, I brought it upon myself
(And I)
Needеd a fix of you, not just one kiss from you
I needed more

Lovе got me fucked up
Got me on stuck, chasin' that rush
Had to give in, couldn't give up
I just want you, but I don't do drugs
Still I want you, ooh-ooh (All I want is my baby)
Ooh, ooh-ooh (All I want is my baby)
Ooh, ooh-ooh (All I want is my baby)
Ooh (My baby, my baby)
All I want is you, ooh-ooh (All I want is my baby)
Ooh, ooh-ooh (All I want is my baby)
Ooh, ooh-ooh (All I want is my baby)
Ooh (My baby, my baby)

Tryna stay in my lane
I should play on the safe side
But you fuckin' me up on this FaceTime
Faded, pourin' all over you
Know exactly what I wanna do
So, baby, can you get it from the back?
Got me purrin' like I'm Doja Cat
Keep me in your bag
'Cause you wanna hear me say I'm comin' back
But this time, I want support, just make it last
Woah-oh (Ah)

It's hard for me to let you go (Let you go)
My body wouldn't let me hide it
No matter what, I wouldn't fold (Wouldn't fold)
Ridin' through the thunder, lightnin'
(And I)
Forgive me, I brought it upon myself
(And I)
Needed a fix of you, not just one kiss from you
I needed more

Love got me fucked up
Got me on stuck, chasin' that rush
Had to give in, couldn't give up (I couldn't give up)
I just want you, but I don't do drugs

Still I want you, ooh-ooh
Ooh, ooh-ooh (All I want is you, baby)
Ooh, ooh-ooh (All I want is you)
Ooh (Mmm, ah)
All I want is you, ooh-ooh
Ooh, ooh-ooh​ (All I really want)
Ooh, ooh-ooh (Is you)
Ooh (Yeah)"
6,Love To Dream,"Love To I know what you mean, you don't fuck with randoms
I got everything, everything but real love
I got in my head, I bet you could get me back out
Or you could leave me there, 'cause

We just love to dream
I fell asleep when you woke up, oh
It's not you, baby, it's just me
I don't believe what I just lost

I don't wanna close my eyes
Nobody wants to fall (Fall) after they did it all (All)
I wonder if I left my body there, would I
Die right in my sleep (Sleep) but in reality ('Ty)
It could feel like anything is possible
When I hear you speak, it really drives it deep
Woke up in a sweat in the middle of the night
It's gettin' under my skin, baby
I wouldn't wonder why
I know what you mean, you don't fuck with randoms
I got everything, everything but real love
I got in my head, I bet you could get me back out
Or you could leave me there, 'cause

We just love to dream
I fell asleep when you woke up, oh
It's not you, baby (Na-na-na-na-na)
It's just me (Na-na-na-na-na)
I don't believe (Na-na-na-na-na)
What I just lost (Na-na-na-na-na)
(I said, I said, I said) (Na-na-na-na-na)

And I said, ""Ooh, stop it"", ayy
I look a little like 'Nashe, ayy
You look a little exhausted, ayy (Yeah)
We should say nah to the party, ayy (Huh)
Take me home in the Bugatti, ayy (Yeah)
Hope you like a little tea, I put it on his teeth
He like my Yerba Mate, ayy
Jump in bed without my bonnet, ah (My bonnet)
Take a minute for the finer things (Yeah)
I don't even wanna sleep
You doin' some weed, blow it in my China bang
I be havin' hella dreams
Pickin' up his sheets feelin' like a tidal wave
Hit me if you want it right away
If he hit me with the mornin' sex
Show up, hit him with apologies
Kicks on him with a pile of J's
Bricks on him with a dick on him (Yo)
Put a fit on him with the Prada shades (Prada shades)
Tits on him and I ride away (Ride away)
How much do you want it? Twice a day
Four times on the holidays (Yeah)
King come through, your dreams come true
And trust me, you won't ever fall asleep
I know what you mean, you don't fuck with randoms (And I hope you)
I got everything, everything but real love (And I hope you)
I got in my head, I bet you could get me back out (And I hope you)
Or you could leave me there, 'cause (Or leave me there)

We just love to dream (And I hope you)
I fell asleep (And I hope you) when you woke up, oh (And I hope you)
(Oh, baby, baby) It's not you, baby (Na-na-na-na-na)
It's just me (Na-na-na-na-na)
I don't believe (Na-na-na-na-na)
What I just lost (Na-na-na-na-na)

(Na-na-na-na-na)
Oh-oh"
7,You Right by Doja Cat & The Weeknd,"You I got a man, but I want you
I got a man, but I want you
And it's just nerves, it's just dick
Makin' me think 'bout someone new
You know I got so much to say
I try to hide it in my face
And it don't work, you see through
That I just wanna get with you
And you're right

You right, I
Got my guy
But I, I
Can't help it, I want you
Said you right, I
Got my guy
But I, I
Can't help it, I want you
I can't stop and look the other way
'Cause I know what could be, babe
And you never feel the same
You'd be thinkin' 'bout it every day
Don't believe in fairytales
But we got our fantasies
And it's me and you, no she
Tryna be all through your sheets
Have you all on top of me
Actin' like it's not that deep
Oh, you could take it out on me
Tell me what it's 'bout to be
Really feel it's bound to bе
I can't tell no one, but they all know

I got a man, but I want you
I got a man, but I want you
And it's just nеrves, it's just dick
Makin' me think 'bout someone new
You know I got so much to say
I try to hide it in my face
And it don't work, you see through
That I just wanna get with you
And you're right
You right, I (You right)
Got my guy (You right)
But I, I
Can't help it, I want you
Said you right, I (You right)
Got my guy (You right)
But I, I
Can't help it, I want you

Girl, I want you like you want me too
I feel that energy (Oh yeah)
When you're on top of me (Oh yeah)
I know your man, he ain't controllin' you
But you still hesitate (Oh)
'Cause you choose loyalty (Oh yeah)
And I know your history (Hey)
Met him before your peak (Hey)
He's so connected to that woman that you used to be
But-but-but this sex will cloud your memory
A couple strokes to put it in, then you'll belong to me

I got a man, but I want you
I got a man, but I want you (Oh)
And it's just nerves, it's just dick
Makin' me think 'bout someone new
You know I got so much to say
I try to hide it in my face
And it don't work, you see through
That I just wanna get with you (Yeah, yeah, yeah, yeah, yeah)
And you're right
You right, I (Right)
Got my guy (I got my)
But I, I (I)
Can't help it, I want you
Said you right, I (Yeah)
Got my guy (Yeah)
But I, I (Yeah)
Can't help it, I want you"
8,Been Like This,"Been Like Since you've been like this
Baby, I don't really wanna be in like this
Ever since you've been like this
Baby, I don't really wanna be in like this

See you've been changin', baby
In good ways and bad ways
Can't say what I say, it's far too late
And I think you made me, baby
Made me too nervous
Cryin' and this hurt and I gotta tell you why

Since you've been like this (This, this, this, this)
Baby, I don't really wanna be in like this (This, this, this, this)
Ever since you've been like this (This, this, this, this)
Baby, I don't really wanna be in like this (This, this, this, this)
Who is frontin', babe?
We don't have fun these days
It's more than complicated, I
Couldn't say you wasn't with it
Told me to stop my whinin'
Whеn you gave up, I tried
I gave you all this timе
Gave you my everything
Said I can do this all night, baby
Said I was actin' out of line, maybe
Can't put my trauma to the side
When you told me I was lyin'
Had me feelin' like I died, baby
I seen a grown man cry, baby
Just see you do it, ain't special, no
Wonder when I ain't there
What the fuck you've been sayin'?
Talkin' 'bout how I sexed you up

And I know it might mess you up
Hatin' me ain't gon' get you love
Ain't nobody gon' set you up
I ain't even gon' sweat you, love
And we'll never be friends like this
God couldn't forgive like this
Way I really went in like this
Thank God I ain't been like this (Yeah)
Since you've been like this (This, this, this, this)
Baby, I don't really wanna be in like this (This, this, this, this)
Ever since you've been like this (This, this, this, this)
Baby, I don't really wanna be in like this (This, this, this, this)
Since you've been like this

I, bless your heart (Like this)
But I, I can't take no more (Like this)
I, bless your heart (Like this)
But I, I can't take no more (Like this)
Since you've been like this
Baby, I don't really wanna be in like this"
9,Options,"I don't need lovin', late-night cuffin'
Take it all off, you naughty
Put it back on, unpause it
Kitchen island, bedroom, closet
Takin' that elsewhere, maybe
We know we both got options

I know you faded, boy
I feel it wearin' off
When I get Henn' and Coke
I like the way you talk, yeah
I couldn't give a fuck
Givin' him paranoia
He just wanna smash on tour
Fuckin' for that new velour
I like it when you're with me all night
I can't imagine what you might try
Yeah, you so full of surprises
Guess you one of my vices
You want a picket fence and a wife
You never change your mind when I cry
Yeah, I see your flaws and you know it
Droppin' your jaw when the drawers hit the floor
I don't need lovin', late-night cuffin'
Take it all off, you naughty
Put it back on, unpause it
Kitchen island, bedroom, closet
Takin' that elsewhere, maybe
We know we both got options

You can count on me
To never count on you
I'm only down for you
Way you put it down, baby, wow, I, I

She wanna fuck a nigga like she love me
She got a lover, but I might get lucky
But you got me on a drain like a drunkie
Lookin' at the junk in your trunk like a junkie
We don't speak, just fuck twice a week
And if she like freaks, we must try a threesome
Do it on the beach, in the sand, let me see somethin'
Seashells on the shore, I'm a beach bum
Finna eat somethin' when you come
Baby, don't you wanna let me know?
Layin' in my bed like a vegetable
Lied when you said, ""Never let me go""
Just like a pro, you professional
Stand on your hand 'cause you flexible
Now she tryna fuck me in the restroom or the parkin' lot
At the restaurant, anywhere, everywhere, anytime, I
I don't need lovin', late-night cuffin'
Take it all off, you naughty
Put it back on, unpause it
Kitchen island, bedroom, closet
Takin' that elsewhere, maybe
We know we both got options
I don't need lovin', late-night cuffin'
Take it all off, you naughty
Put it back on, unpause it
Kitchen island, bedroom, closet
Takin' that elsewhere, maybe
We know we both got options"
